date,airline,pax,plf,seat_km,pax_km,aircraft
2024-01-01,AIX Connect,802969.0,87.572,941483.042,824479.344,5158
2024-02-01,AIX Connect,768022.0,87.605,904055.772,791997.592,4933
2024-03-01,AIX Connect,769891.0,85.106,936995.0,797436.0,5074
2024-04-01,AIX Connect,716857.0,85.827,873583.38,749772.25,4687
2024-05-01,AIX Connect,703339.0,86.94,852135.126,740843.459,4511
2024-06-01,AIX Connect,637860.0,88.596,761644.692,674786.999,4048
2024-07-01,AIX Connect,590023.0,85.724,724893.594,621406.434,3916
2024-08-01,AIX Connect,577347.0,84.438,718957.8,607076.098,3857
2024-09-01,AIX Connect,535294.0,81.596,693678.264,566013.822,3684
2016-08-01,Air Carnival,4036.0,65.572,2567.11,1683.306,88
2016-09-01,Air Carnival,6357.0,60.423,4309.34,2603.822,150
2016-10-01,Air Carnival,7708.0,58.548,5363.96,3140.474,188
2016-11-01,Air Carnival,9232.0,68.003,5526.92,3758.463,194
2016-12-01,Air Carnival,9752.0,58.908,6802.74,4007.39,234
2017-01-01,Air Carnival,11041.0,56.559,8049.16,4552.54,278
2017-02-01,Air Carnival,13629.0,73.609,7691.04,5661.302,266
2017-03-01,Air Carnival,12970.0,64.799,8297.68,5376.773,280
2017-04-01,Air Carnival,1008.0,66.714,631.6,421.368,21
2015-01-01,Air Costa,65179.0,76.492,66947.0,51209.0,1032
2015-02-01,Air Costa,61717.0,77.885,61398.0,47820.0,950
2015-03-01,Air Costa,61790.0,69.232,67337.0,46619.0,1046
2015-04-01,Air Costa,66134.0,76.859,66898.0,51417.0,980
2015-05-01,Air Costa,61345.0,81.206,63562.0,51616.0,801
2015-06-01,Air Costa,65903.0,79.171,67294.4,53277.41,946
2015-07-01,Air Costa,68327.0,81.673,67977.0,55519.0,938
2015-08-01,Air Costa,62026.0,77.325,66501.0,51422.0,883
2015-09-01,Air Costa,59341.0,78.929,63627.0,50220.0,839
2015-10-01,Air Costa,57942.0,78.431,64091.0,50267.0,773
2015-11-01,Air Costa,45620.0,78.01,51227.0,39962.0,628
2015-12-01,Air Costa,55444.0,87.056,52518.0,45720.0,691
2016-01-01,Air Costa,58607.0,83.985,56885.0,47775.0,765
2016-02-01,Air Costa,56760.0,87.055,50590.0,44041.0,690
2016-03-01,Air Costa,54387.0,82.081,54082.0,44391.0,608
2016-04-01,Air Costa,64459.0,84.009,62393.0,52416.0,714
2016-05-01,Air Costa,65321.0,85.679,62761.74,53773.46,714
2016-06-01,Air Costa,62187.0,81.51,61124.0,49822.0,698
2016-07-01,Air Costa,65239.0,80.808,64771.0,52340.0,744
2016-08-01,Air Costa,55188.0,70.827,61251.0,43382.0,721
2016-09-01,Air Costa,50799.0,73.716,58697.0,43269.0,648
2016-10-01,Air Costa,51223.0,70.657,68190.0,48181.0,657
2016-11-01,Air Costa,52240.0,74.143,67134.0,49775.0,646
2016-12-01,Air Costa,49599.0,76.893,59990.0,46128.0,582
2017-01-01,Air Costa,44092.0,81.12,50652.0,41089.0,490
2017-02-01,Air Costa,40234.0,84.885,41501.0,35228.0,440
2017-12-01,Air Deccan,252.0,39.613,213.408,84.538,37
2018-01-01,Air Deccan,1071.0,50.294,680.0,342.0,120
2018-02-01,Air Deccan,927.0,68.173,440.0,299.963,78
2018-03-01,Air Deccan,302.0,53.061,176.634,93.724,32
2018-04-01,Air Deccan,468.0,34.959,454.77,158.983,78
2018-05-01,Air Deccan,1391.0,48.743,964.584,470.17,172
2018-06-01,Air Deccan,573.0,44.699,450.72,201.467,75
2018-07-01,Air Deccan,58.0,18.977,95.454,18.114,17
2018-08-01,Air Deccan,1374.0,52.347,845.597,442.647,152
2018-09-01,Air Deccan,1268.0,42.496,887.363,377.093,192
2018-10-01,Air Deccan,203.0,18.619,281.462,52.406,80
2018-11-01,Air Deccan,0.0,0.0,0.0,0.0,0
2018-12-01,Air Deccan,0.0,0.0,0.0,0.0,0
2020-01-01,Air Deccan,465.0,24.703,570.996,141.052,120
2019-01-01,Air Heritage,307.0,34.238,302.94,103.721,36
2019-02-01,Air Heritage,225.0,96.041,91.161,87.552,26
2019-09-01,Air Heritage,520.0,91.711,257.985,236.6,63
2019-10-01,Air Heritage,991.0,97.435,465.408,453.468,113
2019-11-01,Air Heritage,238.0,88.154,123.84,109.17,30
2019-12-01,Air Heritage,1112.0,97.287,524.025,509.81,127
2020-01-01,Air Heritage,792.0,88.029,412.866,363.44,100
