date,city,pax
2015-04-01,AGARTALA,66809.0
2015-04-01,AGATTI ISLAND,1687.0
2015-04-01,AGRA,396.0
2015-04-01,AHMEDABAD,413524.0
2015-04-01,AIZAWL,11600.0
2015-04-01,AMRITSAR,79211.0
2015-04-01,AURANGABAD,22750.0
2015-04-01,BAGDOGRA,98541.0
2015-04-01,BELGAUM,9040.0
2015-04-01,BENGALURU,1206567.0
2015-04-01,BHAVNAGAR,3506.0
2015-04-01,BHOPAL,47356.0
2015-04-01,BHUBANESWAR,134847.0
2015-04-01,BHUJ,12710.0
2015-04-01,CHANDIGARH,123964.0
2015-04-01,CHENNAI,855156.0
2015-04-01,COIMBATORE,132812.0
2015-04-01,DEHRADUN,38569.0
2015-04-01,DELHI,2581504.0
2015-04-01,DHARAMSALA,5443.0
2015-04-01,DIBRUGARH,26593.0
2015-04-01,DIMAPUR,6279.0
2015-04-01,DIU,2033.0
2015-04-01,GAYA,3724.0
2015-04-01,GOA,326773.0
2015-04-01,GUWAHATI,218349.0
2015-04-01,GWALIOR,810.0
2015-04-01,HYDERABAD,727288.0
2015-04-01,IMPHAL,45789.0
2015-04-01,INDORE,138942.0
2015-04-01,JABALPUR,10299.0
2015-04-01,JAIPUR,182481.0
2015-04-01,JAMMU,100392.0
2015-04-01,JAMNAGAR,5881.0
2015-04-01,JODHPUR,22232.0
2015-04-01,JORHAT,4803.0
2015-04-01,KHAJURAHO,4650.0
2015-04-01,KOCHI,264881.0
2015-04-01,KOLKATA,795389.0
2015-04-01,KOZHIKODE,32476.0
2015-04-01,KULLU,1092.0
2015-04-01,LEH,28713.0
2015-04-01,LILABARI,271.0
2015-04-01,LUCKNOW,189901.0
2015-04-01,MADURAI,38020.0
2015-04-01,MANGALURU,73514.0
2015-04-01,MUMBAI,2394229.0
2015-04-01,NAGPUR,114295.0
2015-04-01,PANTNAGAR,780.0
2015-04-01,PATNA,127023.0
2015-04-01,PORBANDAR,1216.0
2015-04-01,PORT BLAIR,72461.0
2015-04-01,PRAYAGRAJ,5372.0
2015-04-01,PUDUCHERRY,549.0
2015-04-01,PUNE,399177.0
2015-04-01,RAIPUR,95975.0
2015-04-01,RAJAHMUNDRY,10268.0
2015-04-01,RAJKOT,36651.0
2015-04-01,RANCHI,59335.0
2015-04-01,SHILLONG,1157.0
2015-04-01,SILCHAR,16845.0
2015-04-01,SRINAGAR,176272.0
2015-04-01,SURAT,2937.0
2015-04-01,TEZPUR,438.0
2015-04-01,THIRUVANANTHAPURAM,91063.0
2015-04-01,TIRUCHIRAPPALLI,13117.0
2015-04-01,TIRUPATI,25953.0
2015-04-01,TUTICORIN,5345.0
2015-04-01,UDAIPUR,38635.0
2015-04-01,VADODARA,64796.0
2015-04-01,VARANASI,81614.0
2015-04-01,VIJAYAWADA,30528.0
2015-04-01,VISAKHAPATNAM,113356.0
2015-05-01,AGARTALA,74054.0
2015-05-01,AGATTI ISLAND,1269.0
2015-05-01,AHMEDABAD,459229.0
2015-05-01,AIZAWL,12501.0
2015-05-01,AMRITSAR,70745.0
2015-05-01,AURANGABAD,22795.0
2015-05-01,BAGDOGRA,113019.0
2015-05-01,BELGAUM,12502.0
2015-05-01,BENGALURU,1291529.0
2015-05-01,BHAVNAGAR,3223.0
2015-05-01,BHOPAL,51794.0
2015-05-01,BHUBANESWAR,151283.0
2015-05-01,BHUJ,11661.0
2015-05-01,CHANDIGARH,146825.0
2015-05-01,CHENNAI,928026.0
2015-05-01,COIMBATORE,142722.0
2015-05-01,DEHRADUN,41990.0
2015-05-01,DELHI,2854761.0
2015-05-01,DHARAMSALA,7540.0
2015-05-01,DIBRUGARH,27804.0
2015-05-01,DIMAPUR,8600.0
2015-05-01,DIU,2210.0
2015-05-01,DURGAPUR,160.0
2015-05-01,GAYA,1881.0
2015-05-01,GOA,301787.0
2015-05-01,GUWAHATI,220745.0
2015-05-01,GWALIOR,747.0
2015-05-01,HUBLI,3083.0
2015-05-01,HYDERABAD,795260.0
2015-05-01,IMPHAL,52124.0
2015-05-01,INDORE,140082.0
2015-05-01,JABALPUR,10138.0
2015-05-01,JAIPUR,192990.0
2015-05-01,JAMMU,103769.0
2015-05-01,JAMNAGAR,8470.0
2015-05-01,JODHPUR,23284.0
2015-05-01,JORHAT,4615.0
2015-05-01,KHAJURAHO,1223.0
2015-05-01,KOCHI,281524.0
2015-05-01,KOLKATA,888180.0
2015-05-01,KOZHIKODE,33826.0
2015-05-01,KULLU,1260.0
2015-05-01,LEH,40482.0
2015-05-01,LILABARI,240.0
2015-05-01,LUCKNOW,216795.0
2015-05-01,MADURAI,39797.0
2015-05-01,MANGALURU,74719.0
2015-05-01,MUMBAI,2535947.0
2015-05-01,NAGPUR,134950.0
2015-05-01,PANTNAGAR,947.0
2015-05-01,PATNA,137617.0
2015-05-01,PORBANDAR,1096.0
2015-05-01,PORT BLAIR,78527.0
2015-05-01,PRAYAGRAJ,7855.0
2015-05-01,PUDUCHERRY,788.0
2015-05-01,PUNE,425134.0
2015-05-01,RAIPUR,108170.0
2015-05-01,RAJAHMUNDRY,10722.0
2015-05-01,RAJKOT,35016.0
2015-05-01,RANCHI,69626.0
2015-05-01,SHILLONG,1194.0
2015-05-01,SILCHAR,17176.0
2015-05-01,SRINAGAR,226670.0
2015-05-01,SURAT,3439.0
2015-05-01,TEZPUR,181.0
2015-05-01,THIRUVANANTHAPURAM,105593.0
2015-05-01,TIRUCHIRAPPALLI,15316.0
2015-05-01,TIRUPATI,26073.0
2015-05-01,TUTICORIN,9207.0
2015-05-01,UDAIPUR,35562.0
2015-05-01,VADODARA,82383.0
2015-05-01,VARANASI,90403.0
2015-05-01,VIJAYAWADA,29226.0
2015-05-01,VISAKHAPATNAM,132201.0
2015-06-01,AGARTALA,69188.0
2015-06-01,AGATTI ISLAND,1256.0
2015-06-01,AHMEDABAD,391942.0
2015-06-01,AIZAWL,12432.0
2015-06-01,AMRITSAR,66941.0
2015-06-01,AURANGABAD,20088.0
2015-06-01,BAGDOGRA,103882.0
2015-06-01,BELGAUM,11158.0
2015-06-01,BENGALURU,1180098.0
2015-06-01,BHAVNAGAR,2838.0
2015-06-01,BHOPAL,49950.0
2015-06-01,BHUBANESWAR,138794.0
2015-06-01,BHUJ,9601.0
2015-06-01,CHANDIGARH,136599.0
2015-06-01,CHENNAI,827656.0
2015-06-01,COIMBATORE,129792.0
2015-06-01,DEHRADUN,38668.0
2015-06-01,DELHI,2753266.0
2015-06-01,DHARAMSALA,8346.0
2015-06-01,DIBRUGARH,26559.0
2015-06-01,DIMAPUR,9274.0
2015-06-01,DIU,1242.0
2015-06-01,DURGAPUR,278.0
2015-06-01,GAYA,1834.0
2015-06-01,GOA,319659.0
2015-06-01,GUWAHATI,223837.0
2015-06-01,GWALIOR,819.0
2015-06-01,HUBLI,2967.0
2015-06-01,HYDERABAD,733289.0
2015-06-01,IMPHAL,56436.0
2015-06-01,INDORE,132878.0
2015-06-01,JABALPUR,9970.0
2015-06-01,JAIPUR,181287.0
