date,market,pax,a,b,is_imputed,is_covid,pax_a_to_b,pax_b_to_a
2015-04-01,DELHI – MUMBAI,487258.0,DELHI,MUMBAI,False,False,231679.0,255579.0
2015-04-01,BENGALURU – DELHI,239513.0,BENGALURU,DELHI,False,False,125123.0,114390.0
2015-04-01,BENGALURU – MUMBAI,278625.0,BENGALURU,MUMBAI,False,False,143226.0,135399.0
2015-04-01,DELHI – HYDERABAD,144210.0,DELHI,HYDERABAD,False,False,67637.0,76573.0
2015-04-01,DELHI – KOLKATA,148170.0,DELHI,KOLKATA,False,False,77153.0,71017.0
2015-04-01,DELHI – PUNE,141147.0,DELHI,PUNE,False,False,67005.0,74142.0
2015-04-01,AHMEDABAD – DELHI,105869.0,AHMEDABAD,DELHI,False,False,55343.0,50526.0
2015-04-01,CHENNAI – MUMBAI,160105.0,CHENNAI,MUMBAI,False,False,82273.0,77832.0
2015-04-01,KOLKATA – MUMBAI,125578.0,KOLKATA,MUMBAI,False,False,57219.0,68359.0
2015-04-01,HYDERABAD – MUMBAI,149596.0,HYDERABAD,MUMBAI,False,False,77376.0,72220.0
2015-04-01,CHENNAI – DELHI,152659.0,CHENNAI,DELHI,False,False,79083.0,73576.0
2015-04-01,BENGALURU – HYDERABAD,85772.0,BENGALURU,HYDERABAD,False,False,42464.0,43308.0
2015-04-01,BENGALURU – KOLKATA,61315.0,BENGALURU,KOLKATA,False,False,32560.0,28755.0
2015-04-01,AHMEDABAD – MUMBAI,172946.0,AHMEDABAD,MUMBAI,False,False,85411.0,87535.0
2015-04-01,DELHI – SRINAGAR,102214.0,DELHI,SRINAGAR,False,False,47322.0,54892.0
2015-04-01,BENGALURU – PUNE,94919.0,BENGALURU,PUNE,False,False,46977.0,47942.0
2015-04-01,DELHI – GUWAHATI,59338.0,DELHI,GUWAHATI,False,False,30573.0,28765.0
2015-04-01,DELHI – PATNA,78155.0,DELHI,PATNA,False,False,42363.0,35792.0
2015-04-01,BENGALURU – CHENNAI,77490.0,BENGALURU,CHENNAI,False,False,39124.0,38366.0
2015-04-01,DELHI – LUCKNOW,102514.0,DELHI,LUCKNOW,False,False,53557.0,48957.0
2015-04-01,CHENNAI – HYDERABAD,78792.0,CHENNAI,HYDERABAD,False,False,38200.0,40592.0
2015-04-01,BENGALURU – KOCHI,55586.0,BENGALURU,KOCHI,False,False,27946.0,27640.0
2015-04-01,KOCHI – MUMBAI,84290.0,KOCHI,MUMBAI,False,False,41232.0,43058.0
2015-04-01,BAGDOGRA – DELHI,45121.0,BAGDOGRA,DELHI,False,False,23575.0,21546.0
2015-04-01,BHUBANESWAR – DELHI,48058.0,BHUBANESWAR,DELHI,False,False,23076.0,24982.0
2015-04-01,AHMEDABAD – BENGALURU,24823.0,AHMEDABAD,BENGALURU,False,False,11614.0,13209.0
2015-04-01,JAIPUR – MUMBAI,58118.0,JAIPUR,MUMBAI,False,False,27754.0,30364.0
2015-04-01,CHENNAI – KOLKATA,50568.0,CHENNAI,KOLKATA,False,False,27144.0,23424.0
2015-04-01,DELHI – INDORE,39204.0,DELHI,INDORE,False,False,18609.0,20595.0
2015-04-01,AMRITSAR – DELHI,59772.0,AMRITSAR,DELHI,False,False,33676.0,26096.0
2015-04-01,HYDERABAD – VISAKHAPATNAM,47746.0,HYDERABAD,VISAKHAPATNAM,False,False,25110.0,22636.0
2015-04-01,HYDERABAD – KOLKATA,29626.0,HYDERABAD,KOLKATA,False,False,15795.0,13831.0
